id,name,description,attribution,connection_info,next_id,max_attempts,value,category,type,state,logic,initial,minimum,decay,function,requirements
25,Simple RSA,"I'm trying RSA, is this good enough? or weak?",,,,0,260,Cryptography,dynamic,visible,any,500,100,80,logarithmic,
26,Investigation0x5,"Next:
- we found an image that contains a sensitive information, can you tell us the content?

",,,,0,464,Forensics,dynamic,visible,any,500,100,80,logarithmic,
27,Investigation0x6,"Next:
	- we checked even commands that has been executed, and we found interesting things, can you find it?",,,,0,451,Forensics,dynamic,visible,any,500,100,80,logarithmic,
28,Investigation0x7,"Next:
- We can even know what has been open in screen while dumping the memory, can you find the flag? 

",,,,0,458,Forensics,dynamic,visible,any,500,100,80,logarithmic,
29,Investigation0x8,"Next:
- Even deleted files can be retrieved, can you check and tell us what can you find? 
",,,,0,444,Forensics,dynamic,visible,any,500,100,80,logarithmic,
30,Simple Encryption,try to deobfuscate the encryption function,,,,0,211,Cryptography,dynamic,visible,any,500,100,80,logarithmic,
31,have you read the rules ?,"Read and accept the [rules](https://ctf-guardia.vemad.fr/rules), it's **IMPORTANT**!

> *ps: ""Aucun point **PAVE** ne sera attribiué pour ce challenge si c'est le seul que vous avez résolut"".*",,,,0,100,rules,standard,visible,any,,,,static,
32,FruitDB,Login forms are just the best. Your job is to retreive the Administrator's password.,,,,0,500,Web Exploitation,dynamic,hidden,any,500,50,50,logarithmic,
35,Operation: Overlook,"We have intercepted a comms signal originating from a high-value target hidden within the Western Hills district. The target is believed to be operating out of a residential safehouse.

We have acquired a satellite image of the area, but we need boots on the ground to confirm the exact location.

Your Mission: Analyze the provided aerial imagery. Pinpoint the target's residence and extract the House Number and the Street Name. Precision is key for the extraction team.

**Flag format**: flag{Number_StreetnameRoad} <br>
> *(Example: flag{13_TotoRoad}) - No special characters.*",,,,0,100,Osint,dynamic,visible,any,500,100,80,logarithmic,
37,The Unwanted Guest,"> **Incident Report** #4092-B Date: Late February 2024

We are analyzing a targeted intrusion against a major Central European political entity. The threat actor gained access via a phishing campaign featuring a decoy document inviting the recipient to a reception event.

The payload analysis reveals a sophisticated, multi-stage loading process designed to evade detection. This specific variant appears to be a custom tool, recently developed to drop a backdoor.

Your Mission: Identify the name assigned by security researchers (like Zscaler or Mandiant) to this specific payload/loader.

**Flag format**: flag{MalwareName}",,,,0,464,Osint,dynamic,visible,any,500,100,80,logarithmic,
38,The XP Leak,"Our forensic analysts have recovered a corrupted image from a wiped hard drive. <br>
While the file appears innocuous, we suspect a former employee used it to exfiltrate data or leave traces of their digital activity.

> To solve this challenge, you must answer the 7 investigation points listed below and assemble them to construct the final flag.

*1.  What animal is used as the avatar on the target's main social media account?*

*2. In which city is the target physically located?*

*3. What is the exact name (SSID) of the WAP he connected to?*
 
*4. What is the personal email address the target?*

*5. On which development platform was this email address found?*

*6. Which city did the target visit for their recent holidays?*

*7. What is the secret string hidden on their personal website?*

**Flag Format:**<br>
*Concatenate the answers separated by underscores .* <br>
flag{Animal_City_SSIDName_Email_DevelopmentPaltform_City Visited_secret}",,,,0,395,Osint,dynamic,visible,any,500,100,80,logarithmic,
39,The Titan's Rendezvous,"Our field operative went dark shortly after transmitting this image. Before the signal was lost, he claimed to have hidden the encryption keys at a ""Dead Drop"" right where he was standing.

To recover the package, we need you to geolocate this exact spot. Be precise: the extraction team requires the location's specific three-word coordinate address (in English) to proceed.

**Flag format**: flag{word.word.word}",,,,0,100,Osint,dynamic,visible,any,500,100,80,logarithmic,
40,The Blue Door,"We have intercepted a photo from a burn phone belonging to a known smuggler. This location (**marked N:20**) is suspected to be a safehouse used to store illicit goods.

The architecture suggests a historical district in Europe, but the metadata has been scrubbed.

We need the full street name to authorize a raid.

**Flag Format**: (Lowercase, no accents, replace spaces with underscores)<br>
flag{street_name_in_local_language} ",,,,0,100,Osint,dynamic,visible,any,500,100,80,logarithmic,
